timestamp,src_ip,username,computer,event_id,message,label,attack_type
2024-04-15T08:00:00Z,192.168.1.10,alice,DESKTOP-ALICE,4688,A new process has been created. Creator Subject: DOMAIN\alice Process Name: C:\Windows\System32\chrome.exe,0,NONE
2024-04-15T08:00:15Z,192.168.1.20,bob,DESKTOP-BOB,4688,A new process has been created. Creator Subject: DOMAIN\bob Process Name: C:\Windows\System32\powershell.exe CommandLine: Get-EventLog -LogName Security -Newest 10,0,NONE
2024-04-15T08:00:30Z,192.168.1.30,carol,DESKTOP-CAROL,4688,A new process has been created. Creator Subject: DOMAIN\carol Process Name: C:\Windows\System32\mmc.exe,0,NONE
2024-04-15T08:00:45Z,192.168.1.40,dave,DESKTOP-DAVE,4688,A new process has been created. Creator Subject: DOMAIN\dave Process Name: C:\Program Files\Microsoft Office\Office16\WINWORD.EXE,0,NONE
2024-04-15T08:01:00Z,192.168.1.10,alice,DESKTOP-ALICE,4688,A new process has been created. Creator Subject: DOMAIN\alice Process Name: C:\Windows\System32\powershell.exe CommandLine: Get-EventLog -LogName Security -Newest 10,0,NONE
2024-04-15T08:01:15Z,192.168.1.20,bob,DESKTOP-BOB,4634,An account was logged off. Subject: Security ID: DOMAIN\bob Logon Type: 3,0,NONE
2024-04-15T08:01:30Z,192.168.1.30,carol,DESKTOP-CAROL,4672,Special privileges assigned to new logon. Subject: Security ID: DOMAIN\carol Privileges: SeBackupPrivilege SeChangeNotifyPrivilege,0,NONE
2024-04-15T08:01:45Z,192.168.1.40,dave,DESKTOP-DAVE,4672,Special privileges assigned to new logon. Subject: Security ID: DOMAIN\dave Privileges: SeBackupPrivilege SeChangeNotifyPrivilege,0,NONE
2024-04-15T08:02:00Z,192.168.1.10,alice,DESKTOP-ALICE,4688,A new process has been created. Creator Subject: DOMAIN\alice Process Name: C:\Windows\System32\mmc.exe,0,NONE
2024-04-15T08:02:15Z,192.168.1.20,bob,DESKTOP-BOB,4688,A new process has been created. Creator Subject: DOMAIN\bob Process Name: C:\Windows\System32\chrome.exe,0,NONE
2024-04-15T08:02:30Z,192.168.1.30,carol,DESKTOP-CAROL,4624,An account was successfully logged on. Subject: Security ID: DOMAIN\carol Logon Type: 2 Source Network Address: 192.168.1.30,0,NONE
2024-04-15T08:02:45Z,192.168.1.40,dave,DESKTOP-DAVE,4688,A new process has been created. Creator Subject: DOMAIN\dave Process Name: C:\Program Files\Microsoft Office\Office16\WINWORD.EXE,0,NONE
2024-04-15T08:03:00Z,192.168.1.10,alice,DESKTOP-ALICE,4672,Special privileges assigned to new logon. Subject: Security ID: DOMAIN\alice Privileges: SeBackupPrivilege SeChangeNotifyPrivilege,0,NONE
2024-04-15T08:03:15Z,192.168.1.20,bob,DESKTOP-BOB,4688,A new process has been created. Creator Subject: DOMAIN\bob Process Name: C:\Windows\System32\mmc.exe,0,NONE
2024-04-15T08:03:30Z,192.168.1.30,carol,DESKTOP-CAROL,4624,An account was successfully logged on. Subject: Security ID: DOMAIN\carol Logon Type: 2 Source Network Address: 192.168.1.30,0,NONE
2024-04-15T08:03:45Z,192.168.1.40,dave,DESKTOP-DAVE,4624,An account was successfully logged on. Subject: Security ID: DOMAIN\dave Logon Type: 2 Source Network Address: 192.168.1.40,0,NONE
2024-04-15T08:04:00Z,192.168.1.10,alice,DESKTOP-ALICE,4688,A new process has been created. Creator Subject: DOMAIN\alice Process Name: C:\Windows\System32\mmc.exe,0,NONE
2024-04-15T08:04:15Z,192.168.1.20,bob,DESKTOP-BOB,4624,An account was successfully logged on. Subject: Security ID: DOMAIN\bob Logon Type: 2 Source Network Address: 192.168.1.20,0,NONE
2024-04-15T08:04:30Z,192.168.1.30,carol,DESKTOP-CAROL,4624,An account was successfully logged on. Subject: Security ID: DOMAIN\carol Logon Type: 2 Source Network Address: 192.168.1.30,0,NONE
2024-04-15T08:04:45Z,192.168.1.40,dave,DESKTOP-DAVE,4634,An account was logged off. Subject: Security ID: DOMAIN\dave Logon Type: 3,0,NONE
2024-04-15T08:05:00Z,192.168.1.10,alice,DESKTOP-ALICE,4688,A new process has been created. Creator Subject: DOMAIN\alice Process Name: C:\Windows\System32\mmc.exe,0,NONE
2024-04-15T08:05:15Z,192.168.1.20,bob,DESKTOP-BOB,4688,A new process has been created. Creator Subject: DOMAIN\bob Process Name: C:\Windows\System32\notepad.exe,0,NONE
2024-04-15T08:05:30Z,192.168.1.30,carol,DESKTOP-CAROL,4624,An account was successfully logged on. Subject: Security ID: DOMAIN\carol Logon Type: 2 Source Network Address: 192.168.1.30,0,NONE
2024-04-15T08:05:45Z,192.168.1.40,dave,DESKTOP-DAVE,4688,A new process has been created. Creator Subject: DOMAIN\dave Process Name: C:\Windows\System32\powershell.exe CommandLine: Get-EventLog -LogName Security -Newest 10,0,NONE
2024-04-15T08:06:00Z,192.168.1.10,alice,DESKTOP-ALICE,4624,An account was successfully logged on. Subject: Security ID: DOMAIN\alice Logon Type: 2 Source Network Address: 192.168.1.10,0,NONE
2024-04-15T08:06:15Z,192.168.1.20,bob,DESKTOP-BOB,4624,An account was successfully logged on. Subject: Security ID: DOMAIN\bob Logon Type: 3 Source Network Address: 192.168.1.20,0,NONE
